Date,Open,High,Low,Close,Adj Close,Volume
2/01/2020,296.23999,300.600006,295.190002,300.350006,299.638885,33870100
3/01/2020,297.149994,300.579987,296.5,297.429993,296.725769,36580700
6/01/2020,293.790009,299.959991,292.75,299.799988,299.090149,29596800
7/01/2020,299.839996,300.899994,297.480011,298.390015,297.683533,27218000
15/01/2020,311.850006,315.5,309.549988,311.339996,310.602844,30480900
16/01/2020,313.589996,315.700012,312.089996,315.23999,314.493591,27207300
17/01/2020,316.269989,318.73999,315,318.730011,317.975372,34454100
21/01/2020,317.190002,319.019989,316,316.570007,315.820465,27710800
22/01/2020,318.579987,319.98999,317.309998,317.700012,316.947815,25458100
23/01/2020,317.920013,319.559998,315.649994,319.230011,318.474182,26118000
24/01/2020,320.25,323.329987,317.519989,318.309998,317.556335,36634400
27/01/2020,310.059998,311.769989,304.880005,308.950012,308.218506,40485000
28/01/2020,312.600006,318.399994,312.190002,317.690002,316.937805,40558500
29/01/2020,324.450012,327.850006,321.380005,324.339996,323.572052,54057300
30/01/2020,320.540009,324.089996,318.75,323.869995,323.10318,31685800
31/01/2020,320.929993,322.679993,308.290009,309.51001,308.777191,49897100
11/02/2020,323.600006,323.899994,318.709991,319.609985,319.609985,23580800
12/02/2020,321.470001,327.220001,321.470001,327.200012,327.200012,28432600
13/02/2020,324.190002,326.220001,323.350006,324.869995,324.869995,23686900
14/02/2020,324.73999,325.980011,322.850006,324.950012,324.950012,20028400
18/02/2020,315.359985,319.75,314.609985,319,319,38132800
